"Name","Module","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphScopesApplication","GraphScopesDelegate","ApiUri"
"Add-MsolAdministrativeUnitMember","MSOnline","New-MgDirectoryAdministrativeUnitMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnitObjectId","","AdministrativeUnit.ReadWrite.All","AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All",
"Add-MsolAdministrativeUnitMember","MSOnline","New-MgDirectoryAdministrativeUnitMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","TenantId","","AdministrativeUnit.ReadWrite.All","AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All",
"Add-MsolAdministrativeUnitMember","MSOnline","New-MgDirectoryAdministrativeUnitMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnitMemberObjectId","","AdministrativeUnit.ReadWrite.All","AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All",
"Add-MsolForeignGroupToRole","MSOnline","",,"ForeignCompanyObjectId","","","",
"Add-MsolForeignGroupToRole","MSOnline","",,"TenantId","","","",
"Add-MsolForeignGroupToRole","MSOnline","",,"ForeignGroupObjectId","","","",
"Add-MsolForeignGroupToRole","MSOnline","",,"RoleObjectId","","","",
"Add-MsolGroupMember","MSOnline","New-MgGroupMember","Microsoft.Graph.Groups","TenantId","",,,
"Add-MsolGroupMember","MSOnline","New-MgGroupMember","Microsoft.Graph.Groups","GroupMemberObjectId","",,,
"Add-MsolGroupMember","MSOnline","New-MgGroupMember","Microsoft.Graph.Groups","GroupObjectId","",,,
"Add-MsolGroupMember","MSOnline","New-MgGroupMember","Microsoft.Graph.Groups","GroupMemberType","",,,
"Add-MsolRoleMember","MSOnline","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleName","","RoleManagement.ReadWrite.Directory","Directory.AccessAsUser.All RoleManagement.ReadWrite.Directory",
"Add-MsolRoleMember","MSOnline","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleMemberEmailAddress","","RoleManagement.ReadWrite.Directory","Directory.AccessAsUser.All RoleManagement.ReadWrite.Directory",
"Add-MsolRoleMember","MSOnline","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleObjectId","","RoleManagement.ReadWrite.Directory","Directory.AccessAsUser.All RoleManagement.ReadWrite.Directory",
"Add-MsolRoleMember","MSOnline","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleMemberObjectId","","RoleManagement.ReadWrite.Directory","Directory.AccessAsUser.All RoleManagement.ReadWrite.Directory",
"Add-MsolRoleMember","MSOnline","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","TenantId","","RoleManagement.ReadWrite.Directory","Directory.AccessAsUser.All RoleManagement.ReadWrite.Directory",
"Add-MsolRoleMember","MSOnline","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleMemberType","","RoleManagement.ReadWrite.Directory","Directory.AccessAsUser.All RoleManagement.ReadWrite.Directory",
"Add-MsolScopedRoleMember","MSOnline","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","RoleObjectId","",,,
"Add-MsolScopedRoleMember","MSOnline","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnitObjectId","",,,
"Add-MsolScopedRoleMember","MSOnline","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","TenantId","",,,
"Add-MsolScopedRoleMember","MSOnline","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","RoleMemberObjectId","",,,
"Add-MsolScopedRoleMember","MSOnline","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","RoleMemberUserPrincipalName","",,,
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","PromptLoginBehavior","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","DefaultInteractiveAuthenticationMethod","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","OpenIdConnectDiscoveryEndpoint","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","MetadataExchangeUri","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","PassiveLogOnUri","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","SigningCertificateUpdateStatus","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","NextSigningCertificate","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","SupportsMfa","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","DomainName","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","PreferredAuthenticationProtocol","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","LogOffUri","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","SigningCertificate","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","ForceTakeover","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","IssuerUri","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","ActiveLogOnUri","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","FederationBrandName","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","TenantId","","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Confirm-MsolEmailVerifiedDomain","MSOnline","",,"TenantId","","","",
"Confirm-MsolEmailVerifiedDomain","MSOnline","",,"DomainName","","","",
"Connect-MsolService","MSOnline","Connect-MgGraph","Microsoft.Graph.Authentication","Credential","",,,
"Connect-MsolService","MSOnline","Connect-MgGraph","Microsoft.Graph.Authentication","AdGraphAccessToken","",,,
"Connect-MsolService","MSOnline","Connect-MgGraph","Microsoft.Graph.Authentication","MsGraphAccessToken","",,,
"Connect-MsolService","MSOnline","Connect-MgGraph","Microsoft.Graph.Authentication","AzureEnvironment","",,,
"Convert-MsolDomainToFederated","MSOnline","",,"SupportMultipleDomain","","","",
"Convert-MsolDomainToFederated","MSOnline","",,"DomainName","","","",
"Convert-MsolDomainToStandard","MSOnline","",,"SkipUserConversion","","","",
"Convert-MsolDomainToStandard","MSOnline","",,"DomainName","","","",
"Convert-MsolDomainToStandard","MSOnline","",,"PasswordFile","","","",
"Convert-MsolFederatedUser","MSOnline","",,"TenantId","","","",
"Convert-MsolFederatedUser","MSOnline","",,"NewPassword","","","",
"Convert-MsolFederatedUser","MSOnline","",,"UserPrincipalName","","","",
"Disable-MsolDevice","MSOnline","",,"ObjectId","","","",
"Disable-MsolDevice","MSOnline","",,"DeviceId","","","",
"Disable-MsolDevice","MSOnline","",,"Force","","","",
"Enable-MsolDevice","MSOnline","",,"ObjectId","","","",
"Enable-MsolDevice","MSOnline","",,"DeviceId","","","",
"Enable-MsolDevice","MSOnline","",,"Force","","","",
"Get-MsolAccountSku","MSOnline","Get-MgSubscribedSku","Microsoft.Graph.Identity.DirectoryManagement","TenantId","","Directory.Read.All Directory.ReadWrite.All Organization.Read.All Organization.ReadWrite.All","Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All Organization.Read.All Organization.ReadWrite.All",
"Get-MsolAdministrativeUnit","MSOnline","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","SearchString","","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-MsolAdministrativeUnit","MSOnline","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","MaxResults","","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-MsolAdministrativeUnit","MSOnline","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","ObjectId","","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-MsolAdministrativeUnit","MSOnline","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","UserPrincipalName","","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-MsolAdministrativeUnit","MSOnline","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","TenantId","","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-MsolAdministrativeUnit","MSOnline","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","All","All","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
"Get-MsolAdministrativeUnit","MSOnline","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","UserObjectId","","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.Read.All Directory.ReadWrite.All","AdministrativeUnit.Read.All AdministrativeUnit.ReadWrite.All Directory.AccessAsUser.All Directory.Read.All Directory.ReadWrite.All",
